Category         Instruction         legal  fp_val  fp_single  uopc             iq_type   fu_code    dst_type  rs1_type  rs2_type  frs3_en  imm_sel  uses_ldq  uses_stq  is_amo  is_fence  is_fencei  mem_cmd    wakeup_delay  bypassable  is_br  is_sys_pc2epc  inst_unique  flush_on_commit  csr_cmd  is_rvv  can_be_split  uses_vm  v_ls_ew   vstart_is_zero  allow_vd_is_v0  not_use_vtype  vd_unequal_vs1  vd_unequal_vs2
XInt             AMOAND_W            Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_AND   0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOOR_W             Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_OR    0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOMIN_W            Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_MIN   0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOMINU_W           Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_MINU  0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOMAX_W            Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_MAX   0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOMAXU_W           Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_MAXU  0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOADD_D            Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_ADD   0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOXOR_D            Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_XOR   0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOSWAP_D           Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_SWAP  0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOAND_D            Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_AND   0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOOR_D             Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_OR    0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOMIN_D            Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_MIN   0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOMINU_D           Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_MINU  0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOMAX_D            Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_MAX   0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             AMOMAXU_D           Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XA_MAXU  0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             LR_W                Y      N       X          uopLD            IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_X      N        IS_X     Y         N         N       N         N          M_XLR      0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             LR_D                Y      N       X          uopLD            IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_X      N        IS_X     Y         N         N       N         N          M_XLR      0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             SC_W                Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XSC      0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
XInt             SC_D                Y      N       X          uopAMO_AG        IQT_MEM   FU_MEM     RT_FIX    RT_FIX    RT_FIX    N        IS_X     N         Y         Y       N         N          M_XSC      0.U(2.W)      N           N      N              Y            Y                CSR.N    N       N             N        DC2       N               N               N              N               N
Float            FLW                 Y      Y       Y          uopLD            IQT_MEM   FU_MEM     RT_FLT    RT_FIX    RT_X      N        IS_I     Y         N         N       N         N          M_XRD      0.U(2.W)      N           N      N              N            N                CSR.N    N       N             N        DC2       N               N               N              N               N
